date,party,support,type
2024-09-01,D,4060,count
2024-09-01,D,0.142,prop
2024-09-01,B,4060,count
2024-09-01,B,0.063,prop
2024-09-01,C,4060,count
2024-09-01,C,0.102,prop
2024-09-01,F,4060,count
2024-09-01,F,0.07400000000000001,prop
2024-09-01,J,4060,count
2024-09-01,J,0.051,prop
2024-09-01,M,4060,count
2024-09-01,M,0.187,prop
2024-09-01,P,4060,count
2024-09-01,P,0.076,prop
2024-09-01,S,4060,count
2024-09-01,S,0.261,prop
2024-09-01,V,4060,count
2024-09-01,V,0.044000000000000004,prop
2024-09-01,others,4060,count
2024-09-01,others,0,prop
2024-08-01,D,3940,count
2024-08-01,D,0.171,prop
2024-08-01,B,3940,count
2024-08-01,B,0.07,prop
2024-08-01,C,3940,count
2024-08-01,C,0.10099999999999999,prop
2024-08-01,F,3940,count
2024-08-01,F,0.067,prop
2024-08-01,J,3940,count
2024-08-01,J,0.057,prop
2024-08-01,M,3940,count
2024-08-01,M,0.16,prop
2024-08-01,P,3940,count
2024-08-01,P,0.078,prop
2024-08-01,S,3940,count
2024-08-01,S,0.264,prop
2024-08-01,V,3940,count
2024-08-01,V,0.034,prop
2024-08-01,others,3940,count
2024-08-01,others,0,prop
2024-07-01,D,3320,count
2024-07-01,D,0.172,prop
2024-07-01,B,3320,count
2024-07-01,B,0.07200000000000001,prop
2024-07-01,C,3320,count
2024-07-01,C,0.08800000000000001,prop
2024-07-01,F,3320,count
2024-07-01,F,0.086,prop
2024-07-01,J,3320,count
2024-07-01,J,0.047,prop
2024-07-01,M,3320,count
2024-07-01,M,0.146,prop
2024-07-01,P,3320,count
2024-07-01,P,0.078,prop
2024-07-01,S,3320,count
2024-07-01,S,0.276,prop
2024-07-01,V,3320,count
2024-07-01,V,0.035,prop
2024-07-01,others,3320,count
2024-07-01,others,0,prop
2024-06-01,D,3270,count
2024-06-01,D,0.185,prop
2024-06-01,B,3270,count
2024-06-01,B,0.066,prop
2024-06-01,C,3270,count
2024-06-01,C,0.094,prop
2024-06-01,F,3270,count
2024-06-01,F,0.077,prop
2024-06-01,J,3270,count
2024-06-01,J,0.035,prop
2024-06-01,M,3270,count
2024-06-01,M,0.145,prop
2024-06-01,P,3270,count
2024-06-01,P,0.08800000000000001,prop
2024-06-01,S,3270,count
2024-06-01,S,0.26899999999999996,prop
2024-06-01,V,3270,count
2024-06-01,V,0.04,prop
2024-06-01,others,3270,count
2024-06-01,others,0,prop
2024-05-01,D,5080,count
2024-05-01,D,0.18,prop
2024-05-01,B,5080,count
2024-05-01,B,0.091,prop
2024-05-01,C,5080,count
2024-05-01,C,0.077,prop
2024-05-01,F,5080,count
2024-05-01,F,0.061,prop
2024-05-01,J,5080,count
2024-05-01,J,0.037000000000000005,prop
2024-05-01,M,5080,count
2024-05-01,M,0.135,prop
2024-05-01,P,5080,count
2024-05-01,P,0.08800000000000001,prop
2024-05-01,S,5080,count
2024-05-01,S,0.299,prop
2024-05-01,V,5080,count
2024-05-01,V,0.033,prop
2024-05-01,others,5080,count
2024-05-01,others,0,prop
2024-04-01,D,3760,count
2024-04-01,D,0.18,prop
2024-04-01,B,3760,count
2024-04-01,B,0.08800000000000001,prop
2024-04-01,C,3760,count
2024-04-01,C,0.075,prop
2024-04-01,F,3760,count
2024-04-01,F,0.07200000000000001,prop
2024-04-01,J,3760,count
2024-04-01,J,0.034,prop
2024-04-01,M,3760,count
2024-04-01,M,0.128,prop
2024-04-01,P,3760,count
2024-04-01,P,0.08199999999999999,prop
2024-04-01,S,3760,count
2024-04-01,S,0.297,prop
2024-04-01,V,3760,count
2024-04-01,V,0.044000000000000004,prop
2024-04-01,others,3760,count
2024-04-01,others,0,prop
2024-03-01,D,3830,count
2024-03-01,D,0.182,prop
2024-03-01,B,3830,count
2024-03-01,B,0.073,prop
2024-03-01,C,3830,count
2024-03-01,C,0.071,prop
2024-03-01,F,3830,count
2024-03-01,F,0.062,prop
2024-03-01,J,3830,count
2024-03-01,J,0.039,prop
2024-03-01,M,3830,count
2024-03-01,M,0.129,prop
2024-03-01,P,3830,count
2024-03-01,P,0.078,prop
2024-03-01,S,3830,count
2024-03-01,S,0.309,prop
2024-03-01,V,3830,count
2024-03-01,V,0.055999999999999994,prop
2024-03-01,others,3830,count
2024-03-01,others,0,prop
2024-02-01,D,3660,count
2024-02-01,D,0.19899999999999998,prop
2024-02-01,B,3660,count
2024-02-01,B,0.08800000000000001,prop
2024-02-01,C,3660,count
2024-02-01,C,0.075,prop
2024-02-01,F,3660,count
2024-02-01,F,0.068,prop
2024-02-01,J,3660,count
2024-02-01,J,0.035,prop
2024-02-01,M,3660,count
2024-02-01,M,0.128,prop
2024-02-01,P,3660,count
2024-02-01,P,0.08,prop
2024-02-01,S,3660,count
2024-02-01,S,0.282,prop
2024-02-01,V,3660,count
2024-02-01,V,0.047,prop
2024-02-01,others,3660,count
2024-02-01,others,0,prop
2024-01-01,D,3760,count
2024-01-01,D,0.182,prop
2024-01-01,B,3760,count
2024-01-01,B,0.084,prop
2024-01-01,C,3760,count
2024-01-01,C,0.07,prop
2024-01-01,F,3760,count
2024-01-01,F,0.079,prop
2024-01-01,J,3760,count
2024-01-01,J,0.034,prop
2024-01-01,M,3760,count
2024-01-01,M,0.109,prop
2024-01-01,P,3760,count
2024-01-01,P,0.081,prop
2024-01-01,S,3760,count
2024-01-01,S,0.306,prop
2024-01-01,V,3760,count
2024-01-01,V,0.055,prop
2024-01-01,others,3760,count
2024-01-01,others,0,prop
2023-12-01,D,3540,count
2023-12-01,D,0.18100000000000002,prop
2023-12-01,B,3540,count
2023-12-01,B,0.094,prop
2023-12-01,C,3540,count
2023-12-01,C,0.08800000000000001,prop
2023-12-01,F,3540,count
2023-12-01,F,0.068,prop
2023-12-01,J,3540,count
2023-12-01,J,0.036000000000000004,prop
2023-12-01,M,3540,count
2023-12-01,M,0.09699999999999999,prop
2023-12-01,P,3540,count
2023-12-01,P,0.091,prop
2023-12-01,S,3540,count
2023-12-01,S,0.284,prop
2023-12-01,V,3540,count
2023-12-01,V,0.06,prop
2023-12-01,others,3540,count
2023-12-01,others,0,prop
2023-11-01,D,3460,count
2023-11-01,D,0.198,prop
2023-11-01,B,3460,count
2023-11-01,B,0.086,prop
2023-11-01,C,3460,count
2023-11-01,C,0.079,prop
2023-11-01,F,3460,count
2023-11-01,F,0.069,prop
2023-11-01,J,3460,count
2023-11-01,J,0.042,prop
2023-11-01,M,3460,count
2023-11-01,M,0.094,prop
