.chain,.iteration,.draw,name,value,flokkur
1,1,1,pi_now[1],0.00198073,Annað
1,1,1,pi_now[2],0.109122,Flokkur Fólksins
1,1,1,pi_now[3],0.0734849,Framsóknarflokkurinn
1,1,1,pi_now[4],0.149606,Miðflokkurinn
1,1,1,pi_now[5],0.0771076,Píratar
1,1,1,pi_now[6],0.240881,Samfylkingin
1,1,1,pi_now[7],0.13957,Sjálfstæðisflokkurinn
1,1,1,pi_now[8],0.0571388,Sósíalistaflokkurinn
1,1,1,pi_now[9],0.015218,Vinstri Græn
1,1,1,pi_now[10],0.135891,Viðreisn
1,2,2,pi_now[1],5.0887e-4,Annað
1,2,2,pi_now[2],0.100357,Flokkur Fólksins
1,2,2,pi_now[3],0.075195,Framsóknarflokkurinn
1,2,2,pi_now[4],0.14533,Miðflokkurinn
1,2,2,pi_now[5],0.067022,Píratar
1,2,2,pi_now[6],0.246472,Samfylkingin
1,2,2,pi_now[7],0.164779,Sjálfstæðisflokkurinn
1,2,2,pi_now[8],0.0415737,Sósíalistaflokkurinn
1,2,2,pi_now[9],0.0310982,Vinstri Græn
1,2,2,pi_now[10],0.127664,Viðreisn
1,3,3,pi_now[1],0.00154867,Annað
1,3,3,pi_now[2],0.0919198,Flokkur Fólksins
1,3,3,pi_now[3],0.0694925,Framsóknarflokkurinn
1,3,3,pi_now[4],0.169951,Miðflokkurinn
1,3,3,pi_now[5],0.0792588,Píratar
1,3,3,pi_now[6],0.247703,Samfylkingin
1,3,3,pi_now[7],0.160577,Sjálfstæðisflokkurinn
1,3,3,pi_now[8],0.0472809,Sósíalistaflokkurinn
1,3,3,pi_now[9],0.014783,Vinstri Græn
1,3,3,pi_now[10],0.117486,Viðreisn
1,4,4,pi_now[1],0.00204689,Annað
1,4,4,pi_now[2],0.100103,Flokkur Fólksins
1,4,4,pi_now[3],0.0657746,Framsóknarflokkurinn
1,4,4,pi_now[4],0.142417,Miðflokkurinn
1,4,4,pi_now[5],0.0597013,Píratar
1,4,4,pi_now[6],0.255767,Samfylkingin
1,4,4,pi_now[7],0.155035,Sjálfstæðisflokkurinn
1,4,4,pi_now[8],0.0481239,Sósíalistaflokkurinn
1,4,4,pi_now[9],0.0280216,Vinstri Græn
1,4,4,pi_now[10],0.14301,Viðreisn
1,5,5,pi_now[1],0.00111209,Annað
1,5,5,pi_now[2],0.0916162,Flokkur Fólksins
1,5,5,pi_now[3],0.0654847,Framsóknarflokkurinn
1,5,5,pi_now[4],0.173271,Miðflokkurinn
1,5,5,pi_now[5],0.0700259,Píratar
1,5,5,pi_now[6],0.258932,Samfylkingin
1,5,5,pi_now[7],0.13174,Sjálfstæðisflokkurinn
1,5,5,pi_now[8],0.0529136,Sósíalistaflokkurinn
1,5,5,pi_now[9],0.018808,Vinstri Græn
1,5,5,pi_now[10],0.136096,Viðreisn
1,6,6,pi_now[1],4.11332e-4,Annað
1,6,6,pi_now[2],0.0978427,Flokkur Fólksins
1,6,6,pi_now[3],0.0593226,Framsóknarflokkurinn
1,6,6,pi_now[4],0.178369,Miðflokkurinn
1,6,6,pi_now[5],0.0710648,Píratar
1,6,6,pi_now[6],0.242994,Samfylkingin
1,6,6,pi_now[7],0.144186,Sjálfstæðisflokkurinn
1,6,6,pi_now[8],0.0521305,Sósíalistaflokkurinn
1,6,6,pi_now[9],0.02362,Vinstri Græn
1,6,6,pi_now[10],0.13006,Viðreisn
1,7,7,pi_now[1],0.00442676,Annað
1,7,7,pi_now[2],0.126631,Flokkur Fólksins
1,7,7,pi_now[3],0.0597623,Framsóknarflokkurinn
1,7,7,pi_now[4],0.128138,Miðflokkurinn
1,7,7,pi_now[5],0.0528712,Píratar
1,7,7,pi_now[6],0.24565,Samfylkingin
1,7,7,pi_now[7],0.172638,Sjálfstæðisflokkurinn
1,7,7,pi_now[8],0.0413803,Sósíalistaflokkurinn
1,7,7,pi_now[9],0.0254482,Vinstri Græn
1,7,7,pi_now[10],0.143054,Viðreisn
1,8,8,pi_now[1],0.00388213,Annað
1,8,8,pi_now[2],0.107891,Flokkur Fólksins
1,8,8,pi_now[3],0.0569162,Framsóknarflokkurinn
1,8,8,pi_now[4],0.169595,Miðflokkurinn
1,8,8,pi_now[5],0.0559872,Píratar
1,8,8,pi_now[6],0.260551,Samfylkingin
1,8,8,pi_now[7],0.14591,Sjálfstæðisflokkurinn
1,8,8,pi_now[8],0.0384815,Sósíalistaflokkurinn
1,8,8,pi_now[9],0.0262522,Vinstri Græn
1,8,8,pi_now[10],0.134534,Viðreisn
1,9,9,pi_now[1],3.40305e-4,Annað
1,9,9,pi_now[2],0.106071,Flokkur Fólksins
1,9,9,pi_now[3],0.0576957,Framsóknarflokkurinn
